pickup_datetime,dropoff_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
2013-01-01 00:01:00,2013-01-01 00:15:00,-74.003357,40.732582,-73.994896,40.769112
2013-01-01 00:01:00,2013-01-01 00:03:00,-73.982216,40.768768,-73.982132,40.768639
2013-01-01 00:01:00,2013-01-01 00:13:00,-73.988876,40.692364,-73.988907,40.727001
2013-01-01 00:01:00,2013-01-01 00:10:00,-73.968193,40.762428,-73.937294,40.813206
2013-01-01 00:01:00,2013-01-01 00:05:00,-74.004517,40.721241,-73.997459,40.719055
2013-01-01 00:01:00,2013-01-01 00:03:00,-73.976173,40.744942,-73.980919,40.747517
2013-01-01 00:01:00,2013-01-01 00:04:00,-73.942841,40.797031,-73.93454,40.797314
2013-01-01 00:01:00,2013-01-01 00:04:00,-73.999832,40.721867,-74.000916,40.725727
2013-01-01 00:01:00,2013-01-01 00:08:00,-73.978241,40.748531,-73.988274,40.72784
2013-01-01 00:01:00,2013-01-01 00:06:00,-73.981918,40.771168,-73.969978,40.767078
2013-01-01 00:01:01,2013-01-01 00:15:32,-74.000832,40.718704,-73.963737,40.644447
2013-01-01 00:01:01,2013-01-01 00:06:49,-73.975815,40.752026,-73.985382,40.73875
2013-01-01 00:01:01,2013-01-01 00:11:10,-73.979095,40.72739,-73.987038,40.739281
2013-01-01 00:01:02,2013-01-01 00:22:45,0,0,0,0
2013-01-01 00:01:02,2013-01-01 00:20:20,-73.865562,40.770981,-73.964874,40.807529
2013-01-01 00:01:03,2013-01-01 00:15:02,-74.00399,40.732857,-73.991096,40.765701
2013-01-01 00:01:04,2013-01-01 00:08:41,-73.940643,40.711807,-73.933762,40.715382
2013-01-01 00:01:04,2013-01-01 00:27:08,-73.993156,40.738327,-73.946411,40.668694
2013-01-01 00:01:04,2013-01-01 00:13:54,-73.981987,40.769859,-73.945496,40.775249
2013-01-01 00:01:05,2013-01-01 00:04:59,-73.978111,40.788967,-73.97641,40.780838
2013-01-01 00:01:07,2013-01-01 00:16:47,-73.953537,40.775414,-73.996902,40.76289
2013-01-01 00:01:08,2013-01-01 00:06:50,-74.008858,40.740452,-73.997772,40.737713
2013-01-01 00:01:09,2013-01-01 00:07:02,-73.977684,40.786991,-73.980812,40.771576
2013-01-01 00:01:09,2013-01-01 00:24:10,-73.930031,40.767395,-73.988312,40.720299
2013-01-01 00:01:10,2013-01-01 00:07:59,-73.991478,40.738956,-73.978371,40.74559
2013-01-01 00:01:12,2013-01-01 00:06:13,-73.977341,40.751785,-73.987991,40.743916
2013-01-01 00:01:15,2013-01-01 00:20:36,-73.94812,40.789791,-73.897789,40.824497
2013-01-01 00:01:18,2013-01-01 00:07:40,-73.992241,40.725605,-73.983887,40.73777
2013-01-01 00:01:19,2013-01-01 00:16:44,-74.006569,40.739708,-74.012253,40.704155
2013-01-01 00:01:20,2013-01-01 00:09:24,-73.990753,40.729794,-73.970345,40.756294
2013-01-01 00:01:22,2013-01-01 00:24:05,-73.980988,40.688896,-73.985779,40.76894
2013-01-01 00:01:22,2013-01-01 00:07:53,-73.997574,40.760525,-74.006332,40.744595
2013-01-01 00:01:23,2013-01-01 00:06:42,-73.992867,40.74535,-73.980614,40.742428
2013-01-01 00:01:26,2013-01-01 00:04:40,-73.965012,40.755863,-73.973694,40.755215
2013-01-01 00:01:28,2013-01-01 00:08:08,-73.965981,40.762299,-73.945282,40.79372
2013-01-01 00:01:29,2013-01-01 00:06:04,-73.955444,40.779499,-73.947571,40.796261
2013-01-01 00:01:29,2013-01-01 00:18:39,-74.012581,40.70166,-73.932449,40.744534
2013-01-01 00:01:29,2013-01-01 00:08:26,-73.994865,40.759373,-73.986732,40.767014
2013-01-01 00:01:31,2013-01-01 00:05:54,-73.987053,40.739876,-73.992851,40.742748
2013-01-01 00:01:32,2013-01-01 00:05:53,-73.991982,40.744312,-73.987335,40.741936
2013-01-01 00:01:34,2013-01-01 00:07:21,-73.962639,40.794666,-73.95298,40.8083
2013-01-01 00:01:35,2013-01-01 00:06:14,-73.983269,40.766891,-73.997681,40.763859
2013-01-01 00:01:35,2013-01-01 00:02:23,-73.977898,40.757912,-73.97802,40.757362
2013-01-01 00:01:35,2013-01-01 00:10:18,-73.993813,40.735889,-74.002892,40.720913
2013-01-01 00:01:35,2013-01-01 00:03:44,-73.923775,40.770325,-73.931877,40.759815
2013-01-01 00:01:36,2013-01-01 00:18:03,-73.999626,40.717098,-73.992058,40.72551
2013-01-01 00:01:37,2013-01-01 00:08:01,-73.981163,40.741707,-73.954262,40.775578
2013-01-01 00:01:40,2013-01-01 00:12:28,-73.990479,40.686691,-73.992134,40.725365
2013-01-01 00:01:40,2013-01-01 00:03:30,-73.994308,40.74612,-74.002373,40.748615
2013-01-01 00:01:41,2013-01-01 00:13:04,-73.957375,40.673347,-73.932899,40.695042
2013-01-01 00:01:41,2013-01-01 00:13:49,-73.994408,40.740402,-73.956398,40.767231
2013-01-01 00:01:43,2013-01-01 00:08:05,-73.955887,40.772243,-73.976814,40.74369
2013-01-01 00:01:47,2013-01-01 00:05:03,-73.979111,40.743656,-73.985306,40.732075
2013-01-01 00:01:47,2013-01-01 00:12:33,-73.975761,40.7868,-73.933357,40.855042
2013-01-01 00:01:50,2013-01-01 00:16:07,-73.986855,40.761562,-73.951828,40.773571
2013-01-01 00:01:51,2013-01-01 00:16:00,-73.982231,40.768665,-73.978249,40.757481
2013-01-01 00:01:52,2013-01-01 00:10:44,-73.988152,40.728813,-74.012383,40.701534
2013-01-01 00:01:53,2013-01-01 00:21:26,-74.001343,40.762142,-73.969147,40.755043
2013-01-01 00:01:54,2013-01-01 00:26:27,-73.946434,40.777176,-73.991028,40.760822
2013-01-01 00:01:54,2013-01-01 00:19:51,-73.981491,40.767612,-73.981819,40.752712
2013-01-01 00:01:55,2013-01-01 00:17:33,-73.968575,40.799393,-73.961006,40.768143
2013-01-01 00:01:57,2013-01-01 00:15:55,-73.989876,40.731888,-73.999916,40.730682
2013-01-01 00:01:57,2013-01-01 00:04:11,-73.956078,40.771542,-73.951164,40.771584
2013-01-01 00:01:57,2013-01-01 00:07:43,-74.012085,40.707443,-74.006233,40.714325
2013-01-01 00:01:58,2013-01-01 00:12:23,-74.005692,40.740349,-73.994606,40.750492
2013-01-01 00:01:59,2013-01-01 00:18:24,-74.003677,40.741886,-73.977722,40.745518
2013-01-01 00:01:59,2013-01-01 00:12:17,-73.988136,40.728748,-74.012688,40.701649
2013-01-01 00:02:00,2013-01-01 00:03:00,-73.981544,40.781475,-73.979439,40.784386
2013-01-01 00:02:00,2013-01-01 00:10:00,-73.98008,40.774647,-73.958099,40.773724
2013-01-01 00:02:00,2013-01-01 00:12:00,-73.979401,40.783661,-73.995949,40.753235
2013-01-01 00:02:00,2013-01-01 00:12:00,-73.920868,40.743076,-73.920868,40.743076
2013-01-01 00:02:00,2013-01-01 00:08:00,-73.980446,40.765663,-73.977272,40.774429
2013-01-01 00:02:00,2013-01-01 00:04:00,-73.977089,40.789925,-73.984505,40.782444
2013-01-01 00:02:00,2013-01-01 00:07:00,-73.992805,40.73407,-73.981659,40.736805
2013-01-01 00:02:00,2013-01-01 00:10:00,-73.9879,40.729462,-73.975777,40.751415
2013-01-01 00:02:00,2013-01-01 00:15:00,-73.956642,40.719036,-74.001236,40.722473
2013-01-01 00:02:00,2013-01-01 00:03:00,-73.970459,40.764996,-73.971809,40.766048
2013-01-01 00:02:00,2013-01-01 00:19:00,-73.980873,40.759525,-73.988091,40.720654
2013-01-01 00:02:00,2013-01-01 00:03:00,0,0,0,0
2013-01-01 00:02:00,2013-01-01 00:22:00,-73.866074,40.771366,-73.990547,40.672012
2013-01-01 00:02:00,2013-01-01 00:18:00,-73.866615,40.771156,-73.936287,40.814426
2013-01-01 00:02:00,2013-01-01 00:16:00,-73.981285,40.724911,-73.986099,40.744987
2013-01-01 00:02:00,2013-01-01 00:26:00,-73.785126,40.648533,-74.000626,40.683731
2013-01-01 00:02:00,2013-01-01 00:15:00,-74.003433,40.751488,-74.008308,40.703751
